,year,month,weekday,demand_national,renewable,wind,solar,Q1,Bank Holiday,af,rain,sun,tavg,demand_yoy_var,demand_1yr_var,demand_2yr_var
2010-09-30,2010.0,9.0,0.6,33044.99513888889,1076.8527777777779,763.9145833333333,0.0,0.0,0.0,-0.731155466853829,0.3446511162944129,0.10954835571198912,0.8589398128251919,-409311.03545160964,17999372.288992934,18408683.324444544
2010-10-31,2010.0,10.0,0.5154362416107383,35184.69932885906,1215.3684563758388,851.4302013422819,0.0,0.0,0.0,-0.4033797765498415,-0.033771788395434106,-0.2275582744477516,0.10359899750679985,1592839.0680278093,17967209.142810352,16374370.074782543
2010-11-30,2010.0,11.0,0.6,39709.84097222222,1304.0597222222223,878.2222222222222,0.0,0.0,0.0,1.3023603399375059,0.8393142306524041,-0.9921546689669938,-1.0934421234198932,3709936.8886352107,18908087.621687282,15198150.733052071
2010-12-31,2010.0,12.0,0.5806451612903226,43693.04637096774,810.5557795698925,624.8138440860215,0.0,0.0,0.12903225806451613,4.592008444085948,-1.1246970041994306,-1.286092738707959,-2.267510542825148,5997949.699256899,22046668.348256953,16048718.649000054
2011-01-31,2011.0,1.0,0.5483870967741935,41525.792338709674,1237.2163978494623,948.1538978494624,0.0,1.0,0.0967741935483871,1.8720993945708744,0.14029640626585133,-1.1986937202233083,-1.4009245570116169,1683498.8885557763,20354298.582814693,18670799.694258917
2011-02-28,2011.0,2.0,0.5714285714285714,39913.85119047619,1709.3199404761904,1216.5863095238096,0.0,1.0,0.0,-0.044295607377728745,0.3814787673963051,-1.2063911422635094,-0.8822569287085702,-130053.64283831418,18315538.04933193,18445591.692170244
2011-03-31,2011.0,3.0,0.6137281292059219,38564.37685060565,1199.627860026918,890.3384925975774,0.0,1.0,0.12920592193808883,0.8404097550996396,-1.2053250161741798,0.07802753905970206,-0.7702668064550673,1620242.1410546638,18190056.00744817,16569813.866393507
2011-04-30,2011.0,4.0,0.5333333333333333,32877.200694444444,1398.3527777777779,1014.8798611111112,0.0,0.0,0.5,-0.6338583479098092,-1.7022928893095721,1.4784968273143648,0.33101925090571027,2486553.8736919966,18945723.222409382,16459169.348717386
2011-05-31,2011.0,5.0,0.5806451612903226,32000.649865591397,1755.6189516129032,1418.3870967741937,0.0,0.0,0.45161290322580644,-0.617963274022915,-0.18919950773974414,1.2139681514325227,0.42821388341008576,2755125.014975533,19644728.375085913,16889603.36011038
2011-06-30,2011.0,6.0,0.6,32250.932638888888,1043.7375,728.7715277777778,0.0,0.0,0.0,-0.7530714020615167,-0.41376362618069235,1.105242180207717,0.7964904206336967,2604360.485966217,19657729.62164502,17053369.1356788
2011-07-31,2011.0,7.0,0.5161290322580645,31351.915994623654,903.7614247311828,638.122311827957,0.0,0.0,0.0,-0.7610189390049639,-0.6035011878270714,0.8535865449624541,1.1397089666647735,2565572.316371005,20056485.122355938,17490912.805984933
2011-08-31,2011.0,8.0,0.6129032258064516,31514.43077956989,1341.6041666666667,1005.3494623655914,0.0,0.0,0.22580645161290322,-0.7610189390049639,0.2732599630486796,0.25926963494094785,1.154136294927142,1439356.660556592,19662471.784225408,18223115.123668816
2011-09-30,2011.0,9.0,0.5666666666666667,32667.38611111111,2221.3131944444444,1740.463888888889,0.0,0.0,0.0,-0.7610189390049639,-0.12434683846803392,0.19670637760668275,1.0850369858810622,2599742.430947013,19875126.54287462,17275384.111927606
2011-10-31,2011.0,10.0,0.5476510067114094,33875.94161073826,2634.465100671141,2055.569798657718,0.0,0.0,0.0,-0.7199566647971536,0.4405721157205136,-0.4787771316331669,0.49026405048937666,3630218.447324956,20197078.93158636,16566860.484261403
2011-11-30,2011.0,11.0,0.6,37111.07083333333,2597.2375,2036.9902777777777,0.0,0.0,0.0,-0.5146452937581018,-0.21705541934838019,-1.0725252847698161,-0.0782612719056841,1473263.4209056385,18926064.144154236,17452800.723248597
2011-12-31,2011.0,12.0,0.5483870967741935,38429.26814516129,3338.559139784946,2616.7795698924733,0.0,0.0,0.12903225806451613,0.4787968241727936,1.6993219558718982,-1.4533163387636414,-0.9833862871026825,-8019589.257009776,13501247.727187986,21520836.984197762
2012-01-31,2012.0,1.0,0.5806451612903226,39334.375,2937.1612903225805,2222.8830645161293,0.0,1.0,0.0967741935483871,0.6843731131099602,0.049729273592733374,-1.0791015362509746,-1.0178220416657564,-10732735.68871141,11370463.066334056,22103198.755045466
2012-02-29,2012.0,2.0,0.5862068965517241,40661.40014367816,2549.4935344827586,1990.4102011494253,0.0,1.0,0.0,1.5713182359986637,-1.1545255226301718,-1.0133934768858115,-1.149642261999816,-6229395.017859051,12086143.031472879,18315538.04933193
2012-03-31,2012.0,3.0,0.5491251682368775,36447.10228802153,1821.5376850605653,1396.9327052489905,0.0,1.0,0.1278600269179004,-0.2025720097787432,-1.5563793839110551,0.5692572637008845,-0.35048217622458,-7081983.579497792,11108072.427950379,18190056.00744817
2012-04-30,2012.0,4.0,0.5666666666666667,34972.819444444445,1614.357638888889,1402.6319444444443,0.0,0.0,0.5,0.1847379572652486,1.1105191818597826,0.1453745560970525,-0.6644663991976999,-8233575.493902089,10712147.728507293,18945723.222409382
2012-05-31,2012.0,5.0,0.6129032258064516,33474.76948924731,1403.8064516129032,1192.7399193548388,0.0,0.0,0.45161290322580644,-0.47490760904086593,-0.8162842158389965,1.3800837344186374,0.2679946063911542,-9569173.321591293,10075555.05349462,19644728.375085913
2012-06-30,2012.0,6.0,0.5333333333333333,31388.45,1610.4659722222223,1439.51875,0.0,0.0,0.0,-0.7451238651180695,1.500620805956941,-0.010617608133994429,0.7156214490577908,-9061759.400241537,10595970.221403481,19657729.62164502
2012-07-31,2012.0,7.0,0.5806451612903226,31265.99193548387,1244.331317204301,1023.2842741935484,0.0,0.0,0.0,-0.7610189390049639,0.6313431063518946,0.3256599000376817,1.1093482995582635,-9401307.339409912,10655177.782946026,20056485.122355938
2012-08-31,2012.0,8.0,0.5806451612903226,31019.549731182797,1497.8413978494623,1262.3817204301076,0.0,0.0,0.22580645161290322,-0.7445940293218397,0.32800217271136023,0.47166856575794186,1.415359525333759,-8664688.734828075,10997783.049397333,19662471.784225408
2012-09-30,2012.0,9.0,0.5333333333333333,31908.109722222223,2685.934027777778,2333.985416666667,0.0,0.0,0.0,-0.7185407243072289,0.3626515702513579,0.41734169469507587,0.6730726134382834,-8499827.688930588,11375298.853944032,19875126.54287462
2012-10-31,2012.0,10.0,0.6120805369127517,35059.018791946306,2006.4892617449664,1619.3120805369128,0.0,0.0,0.0,-0.3093339227190501,1.0545322757102396,-0.5076294423293413,-0.16805240701226543,-8944938.85170151,11252140.07988485,20197078.93158636
2012-11-30,2012.0,11.0,0.5666666666666667,38093.37222222222,2943.383333333333,2419.945138888889,0.0,0.0,0.0,0.20858056809559009,1.0956591857650975,-1.0188412905049933,-0.795451353158675,-7232430.459569896,11693633.68458434,18926064.144154236
2012-12-31,2012.0,12.0,0.5483870967741935,38764.85954301075,3429.1202956989246,2961.8004032258063,0.0,0.0,0.12903225806451613,1.3609734248954288,2.0493257799444407,-1.2527160880048505,-1.1849892162426183,-1599431.7315658648,11901815.99562212,13501247.727187986
2013-01-31,2013.0,1.0,0.6129032258064516,40389.43346774193,3260.5631720430106,2733.02688172043,52.456989247311824,1.0,0.0967741935483871,1.727354877988343,0.4125957167693863,-1.4270264593519022,-1.3277564882845274,1417370.3011744823,12787833.367508538,11370463.066334056
2013-02-28,2013.0,2.0,0.5714285714285714,40405.13913690476,2941.0803571428573,2424.5,105.20907738095238,1.0,0.0,1.678874902633315,-0.9561071575097757,-0.8400799427385489,-1.4773324468221856,456757.2717116475,12542900.303184526,12086143.031472879
2013-03-31,2013.0,3.0,0.5168236877523553,39649.738896366085,2824.335800807537,2509.93068640646,153.8034993270525,1.0,0.12920592193808883,2.704107168337999,-0.614992251411917,-0.6770743708036739,-1.6064190681170596,2977485.1844616868,14085557.612412065,11108072.427950379
2013-04-30,2013.0,4.0,0.6,35328.799305555556,3296.3368055555557,2688.179166666667,320.50347222222223,0.0,0.5,0.7172229324762085,-1.025715981285272,0.7929935159327802,-0.6720597298621043,3347738.7208564263,14059886.44936372,10712147.728507293
2013-05-31,2013.0,5.0,0.5806451612903226,31808.733870967742,3091.3252688172042,2374.0799731182797,352.3991935483871,0.0,0.45161290322580644,-0.5721324776490363,-0.058502813071000484,1.0125245975798285,0.06904934298376011,4847973.824223043,14923528.877717663,10075555.05349462
2013-06-30,2013.0,6.0,0.5333333333333333,30425.334722222222,2280.4395833333333,1736.9715277777777,392.22569444444446,0.0,0.0,-0.7610189390049639,-1.3067424850245277,0.9362340297932309,0.8295214090238562,5111431.331854718,15707401.5532582,10595970.221403481
2013-07-31,2013.0,7.0,0.6129032258064516,31036.717741935485,1724.7056451612902,1125.4939516129032,455.2291666666667,0.0,0.0,-0.7610189390049639,-0.9586550944900394,2.108013132842843,1.8363970551238729,5226566.598174633,15881744.38112066,10655177.782946026
2013-08-31,2013.0,8.0,0.5483870967741935,30184.262768817203,2091.3118279569894,1540.0342741935483,370.067876344086,0.0,0.22580645161290322,-0.7610189390049639,-0.6903092225672447,0.6599407085072007,1.5201348329514317,5595831.970849726,16593615.020247059,10997783.049397333
2013-09-30,2013.0,9.0,0.5666666666666667,32024.53402777778,2527.9354166666667,2004.9659722222223,265.18402777777777,0.0,0.0,-0.7528064841634018,-0.46007791291822053,-0.16611059743950207,0.8868510555401091,5148609.988956679,16523908.84290071,11375298.853944032
2013-10-31,2013.0,10.0,0.6120805369127517,33430.41342281879,3509.8355704697988,2952.6469798657718,166.3234899328859,0.0,0.0,-0.7281691196387156,1.8063518622992414,-0.7072994125450817,0.5126264092960476,5553543.365042638,16805683.444927488,11252140.07988485
2013-11-30,2013.0,11.0,0.5333333333333333,37523.55902777778,3584.2993055555557,2947.983333333333,129.40555555555557,0.0,0.0,0.42978701302153605,-0.06994180287050604,-0.9201850389144763,-0.8153838461527365,4831933.436127957,16525567.120712297,11693633.68458434
2013-12-31,2013.0,12.0,0.5806451612903226,36814.76075268817,4965.965725806452,4216.233198924731,85.27755376344086,0.0,0.12903225806451613,-0.11726844658574365,1.8324342764239387,-1.3693717554521074,-0.7984886854244366,3634482.4003013577,15536298.395923479,11901815.99562212
2014-01-31,2014.0,1.0,0.5806451612903226,38265.165994623654,4653.606182795699,3829.310483870968,103.01411290322581,1.0,0.0967741935483871,0.11771372904217756,2.3678838363304915,-1.314595626956256,-0.9931057503531202,1011448.1886190753,13799281.556127613,12787833.367508538
2014-02-28,2014.0,2.0,0.5714285714285714,37507.78422619047,5547.271577380952,4604.7671130952385,211.18005952380952,1.0,0.0,-0.331851944058817,1.6524176145203533,-0.7638725707728748,-0.9184633099220254,-2221908.385854913,11515241.456186667,13737149.84204158
2014-03-31,2014.0,3.0,0.5491251682368775,35185.30080753701,4143.919919246298,3039.6944818304173,401.37685060565275,1.0,0.1278600269179004,0.033734755339752426,-0.5829892892957241,0.14121476505089117,-0.5915704248194181,-3980055.747857947,8996036.6623218,12976092.410179747
2014-04-30,2014.0,4.0,0.6,32213.713194444445,3329.970138888889,2286.2034722222224,542.7333333333333,0.0,0.5,-0.5225928307015489,-0.674097722070261,0.4696718660557842,-0.05965761177789364,-3790410.561744621,9124545.698526546,12914956.260271167
2014-05-31,2014.0,5.0,0.5483870967741935,30651.46438172043,2737.7399193548385,1802.836693548387,649.6438172043011,0.0,0.45161290322580644,-0.6505755807908533,0.19420264569602136,0.5574259422201189,0.39709431963544944,-4302478.254913202,9669522.42253349,13972000.677446691
2014-06-30,2014.0,6.0,0.5666666666666667,29900.120833333334,2206.06875,1238.39375,773.0791666666667,0.0,0.0,-0.7610189390049639,-0.8115518237973318,1.1821151187407766,1.1458342534007262,-5589429.266334087,10012086.582891548,15601515.849225635
2014-07-31,2014.0,7.0,0.6129032258064516,29983.89314516129,2607.5954301075267,1694.1176075268818,803.6283602150538,0.0,0.0,-0.7610189390049639,-0.8902349685864546,1.7281750491614107,1.6534990305205868,-5205375.405187827,10619657.612989025,15825033.018176852
2014-08-31,2014.0,8.0,0.5161290322580645,28842.30443548387,3833.2540322580644,2851.3958333333335,663.8010752688172,0.0,0.22580645161290322,-0.7528064841634018,1.1673827208724654,0.9045863395140361,1.1297490479432968,-4977384.570831258,11613003.437649863,16590388.00848112
2014-09-30,2014.0,9.0,0.6,31120.252083333333,2131.19375,1381.1131944444444,534.7479166666667,0.0,0.0,-0.7610189390049639,-1.8267044045362724,0.05394234890242854,1.1089559774739364,-4084872.1928425673,11928435.567122586,16013307.759965153
2014-10-31,2014.0,10.0,0.5798657718120805,32364.828187919462,4704.640268456375,3956.9422818791945,340.72751677852347,0.0,0.0,-0.6656484956835979,1.5668096908595366,-0.6231052417707778,0.4654212036656675,-3378102.2682611085,12027478.32458311,15405580.592844218
2014-11-30,2014.0,11.0,0.5333333333333333,35667.69236111111,3991.3708333333334,3206.228472222222,187.29791666666668,0.0,0.0,-0.301121467877488,0.9303141117129916,-1.148445252990483,-0.3626441608387345,-4935402.676309135,10911081.883193139,15846484.559502274
2014-12-31,2014.0,12.0,0.6129032258064516,36631.04905913978,5800.038306451613,4998.729838709677,190.7923387096774,0.0,0.12903225806451613,1.1853328584452465,0.5371977258182068,-1.1070203022618423,-1.1057021885551295,-4586192.029733311,10793480.13880947,15379672.168542782
2015-01-31,2015.0,1.0,0.5483870967741935,37972.21169354839,6246.334677419355,5296.075268817204,229.15591397849462,1.0,0.0967741935483871,1.2524484376676674,1.2372425202586048,-1.0705240471137902,-1.222248904295885,-4572639.231561126,10530544.00132913,15103183.232890256
2015-02-28,2015.0,2.0,0.5714285714285714,38506.00818452381,4836.006696428572,3876.373511904762,372.78050595238096,1.0,0.0,1.2838823165439914,-0.5250425465760699,-0.8052250535627636,-1.3073557398994942,-1837152.2808484249,11400859.596188324,13238011.877036748
2015-03-31,2015.0,3.0,0.5814266487213997,35321.95356662181,5439.550471063257,4104.420592193809,747.5807537012113,1.0,0.1278600269179004,0.33945000976435336,-0.3967120479281584,0.0580231039187124,-0.845200324561631,858654.090175502,11450419.745297017,10591765.655121515
2015-04-30,2015.0,4.0,0.6,31044.95902777778,4362.070833333333,2536.259722222222,1374.4354166666667,0.0,0.5,-0.16972219041249492,-1.3929375894701481,1.4982550784579864,-0.2900645752381362,3259335.7856094018,11787571.334826333,8528235.549216932
2015-05-31,2015.0,5.0,0.5161290322580645,29167.494623655915,5485.538306451613,3707.421370967742,1323.1182795698924,0.0,0.45161290322580644,-0.5557075679659121,0.3473568212733276,0.8715659181896084,0.10735769618568033,3489672.769553922,12649870.142332291,9160197.37277837
2015-06-30,2015.0,6.0,0.6,28697.68125,4541.19375,2673.5291666666667,1498.2798611111111,0.0,0.0,-0.7363815744802776,-1.1037841594665707,1.272615532741061,0.8174606688185607,3440726.8662940804,13457594.993427835,10016868.127133755
2015-07-31,2015.0,7.0,0.5806451612903226,28431.092741935485,4462.028225806452,2763.5826612903224,1310.2439516129032,0.0,0.0,-0.7610189390049639,0.2934118282562196,0.6452275275769279,1.2235140260975832,4237900.167449165,14494066.019843085,10256165.85239392
2015-08-31,2015.0,8.0,0.5483870967741935,28159.56384408602,4109.093413978495,2713.5315860215055,1099.7439516129032,0.0,0.22580645161290322,-0.7610189390049639,0.5342007817617004,0.4678956352790735,1.2862855595899922,3520332.358869355,15025930.73933773,11505598.380468374
2015-09-30,2015.0,9.0,0.6,29997.602777777778,3672.204166666667,2411.4,1103.425,0.0,0.0,-0.7528064841634018,-0.8424299691595487,0.4743599505648082,0.6581779025815718,4373650.369853361,15465062.37713524,11091412.007281879
2015-10-31,2015.0,10.0,0.5476510067114094,32464.625503355706,3368.31677852349,2583.944966442953,607.7744966442953,0.0,0.0,-0.6378321163815328,-0.4874471128113397,-0.5919900047454915,0.2281928981585679,4434949.354411066,15460472.73817225,11025523.383761184
2015-11-30,2015.0,11.0,0.5666666666666667,34217.45,5793.353472222222,4966.656944444445,246.99930555555557,0.0,0.0,-0.292909013035926,1.5752771412527795,-1.510010130931773,-0.18923779956595352,3412521.700583294,14845788.81613531,11433267.115552016
2015-12-31,2015.0,12.0,0.6129032258064516,33152.06384408602,6764.9536290322585,5726.908602150537,196.6478494623656,0.0,0.12903225806451613,-0.44894565502560524,2.739538235756105,-1.636763123899353,-0.23396251717929503,2371359.1149238423,13273578.586970253,10902219.47204641
2016-01-31,2016.0,1.0,0.5161290322580645,36022.51276881721,5750.567204301075,4766.193548387097,303.6431451612903,1.0,0.0967741935483871,0.7582852066840189,2.1525363180820363,-1.3766181114545202,-1.0327302808702035,-84131.6030906532,11565805.123472504,11649936.726563158
2016-02-29,2016.0,2.0,0.5862068965517241,35941.121408045976,5617.730603448276,4267.617816091954,688.1408045977012,1.0,0.0,1.2694397235467614,0.19781964714352882,-0.6791617101633636,-1.2129143443584363,-2274891.858124949,9125967.738063375,11400859.596188324
2016-03-31,2016.0,3.0,0.6137281292059219,34389.51547779273,4606.0733512786,3031.769851951548,1082.64333781965,1.0,0.12920592193808883,0.520124016278719,-0.20759454367278043,-0.16281188313989617,-0.9067948918010575,-2834706.3156804238,8615713.429616593,11450419.745297017
2016-04-30,2016.0,4.0,0.5333333333333333,31300.13888888889,5129.052083333333,3162.2083333333335,1621.3027777777777,0.0,0.5,0.035589180626556825,-0.4912708000558474,0.708822413090641,-0.606276175206148,-3201793.9273463115,8585777.407480022,11787571.334826333
2016-05-31,2016.0,5.0,0.5806451612903226,27875.497983870966,5218.797715053764,3062.1881720430106,1910.736559139785,0.0,0.45161290322580644,-0.6590712237304003,-0.8178343593164995,1.3500126049459376,0.45391338012426813,-3299917.6520236693,9349952.490308622,12649870.142332291
2016-06-30,2016.0,6.0,0.6,28247.027083333334,3654.8381944444445,1894.3138888888889,1627.6256944444444,0.0,0.0,-0.7610189390049639,0.21373445351256065,0.1931622356353534,1.0626619715232843,-3843017.765984645,9614577.22744319,13457594.993427835
2016-07-31,2016.0,7.0,0.5161290322580645,27026.538306451614,4708.291666666667,2578.0235215053763,1852.9254032258063,0.0,0.0,-0.7610189390049639,-0.6736710159087116,0.5937474861442319,1.436544917887447,-3884592.9003373142,10609473.11950577,14494066.019843085
2016-08-31,2016.0,8.0,0.6129032258064516,26726.0685483871,4982.885080645161,2903.2439516129034,1759.815188172043,0.0,0.22580645161290322,-0.7610189390049639,-0.4513840047829917,1.021031370269228,1.4879391109343574,-3357340.995239921,11668589.744097808,15025930.73933773
2016-09-30,2016.0,9.0,0.5666666666666667,28237.98888888889,5069.0048611111115,3489.965277777778,1222.9729166666666,0.0,0.0,-0.7610189390049639,0.07962031609686214,-0.1214926786783765,1.291778068770578,-3074849.4945041537,12390212.882631086,15465062.37713524
2016-10-31,2016.0,10.0,0.5476510067114094,30811.514093959733,4572.980536912752,3363.7973154362417,905.003355704698,0.0,0.0,-0.662469480906219,-1.1872852214547376,-0.2604754573216702,0.19052997806312227,-3192561.160034124,12267911.578138126,15460472.73817225
2016-11-30,2016.0,11.0,0.6,35480.88680555556,4991.053472222222,4162.6194444444445,532.475,0.0,0.0,0.7418602970008946,0.43840191485200947,-0.8523970840262324,-0.9260186739331078,-1743035.2359136846,13102753.580221625,14845788.81613531
2016-12-31,2016.0,12.0,0.5483870967741935,34672.12096774193,5559.17876344086,4742.066532258064,308.3817204301075,0.0,0.12903225806451613,0.4462119227046603,-0.6317137991176277,-1.3594090558965513,-0.7420196163834831,542547.1568985209,13816125.743868774,13273578.586970253
